th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
2.5941913736070203,-2.9129183415919915,5.4694167301701295,2.3575969332697997
2.5650621901911004,-2.9505195673145743,5.492992699502827,2.3702208644487546
2.535556994517955,-2.993512405156988,5.516694908147315,2.379374250270718
2.505621870466385,-3.041908486333763,5.540488650650022,2.385256826637911
2.4752027856030474,-3.095557749450878,5.564341218916401,2.3883311197424444
2.4442472081085387,-3.1541353515526533,5.588224530113826,2.3893444669981374
2.4127058545930122,-3.217147531705158,5.612117974783807,2.3893245269312264
2.380534379275961,-3.283959448525202,5.63601122005312,2.389543839928201
2.3476947847907086,-3.3538439052893634,5.659906658452401,2.3914548283514554
2.314156345737815,-3.426045349973098,5.6838212067359155,2.396603135865437
2.279895892238084,-3.4998500570586497,5.70778723809457,2.406532331998747
2.2448973916674975,-3.5746521863665452,5.7318525614145575,2.422694980354068
2.209150869803832,-3.6500068631589766,5.756079511218098,2.446383266831039
2.172650801172242,-3.725664921161613,5.780543343886408,2.4786876096965056
2.1353941519606257,-3.801588225204086,5.805330219983373,2.5204856949589747
2.0973782697085848,-3.877948232652545,5.830535076932963,2.572459072351227
2.0585987873820595,-3.955112827703498,5.8562596676564755,2.635131050417106
2.0190476591050244,-4.033627286405542,5.882610978160646,2.708918477329622
1.9787113862409689,-4.114194827956439,5.909700162933943,2.7941906919655475
1.9375694379614046,-4.197661128379297,5.937642069853598,2.891330745762278
1.8955928266776116,-4.285005939350391,5.966555377311221,3.000796219514849
1.8527427672841077,-4.3773439337037265,5.99656333950637,3.123179100284934
1.8089693279470704,-4.475936279147699,6.027795130509219,3.2592660140526846
1.7642099651555934,-4.582214279778806,6.060387790649745,3.410101612161154
1.7183878223578053,-4.6978167062282274,6.0944888067713565,3.577059195091201
1.671409655295523,-4.82464312059104,6.130259398722268,3.761923890046181
1.6231632240896128,-4.964926547079972,6.16787863762273,3.9669950334218407
1.5735139586188132,-5.121330170353588,6.207548587956948,4.1952159142313405
1.5223006569152773,-5.297074159956911,6.249500747099262,4.450340543574513
1.4693299153157082,-5.496099625693058,6.294004152535007,4.737147857245674
