th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
1.6497801795306752,-2.621643725194001,1.624269787472959,-1.7290533721024368
1.6235637422787352,-2.721654677787975,1.6069792537519347,-1.7251817394407951
1.5963471955008555,-2.8211539460876436,1.589727436357527,-1.7224035864377945
1.568135656039979,-2.91982858437486,1.5725034004931489,-1.721186692932476
1.5389373701962306,-3.01732535202689,1.555291533563824,-1.7220630789266567
1.5087641166759616,-3.1132514999042025,1.5380709027745574,-1.7256268375280301
1.4776316016769195,-3.2071769462428628,1.520814634399277,-1.732529357237573
1.445559832214491,-3.2986380521535117,1.5034893408269012,-1.7434715498661693
1.4125734516929558,-3.3871431301245476,1.4860546253282396,-1.759192829259354
1.3787020203917104,-3.4721797011588396,1.468462697035646,-1.780456784040729
1.3439802233801221,-3.5532233611385773,1.4506581291952387,-1.8080337497882832
1.3084479897687364,-3.629747937474826,1.4325777916973559,-1.8426807934959066
1.272150510393988,-3.7012364354317175,1.414150983762397,-1.8851199417288107
1.2351381460396709,-3.7671921198075773,1.3952997843451087,-1.9360157668795952
1.197466224841595,-3.827148984786371,1.3759396266763129,-1.9959536413546417
1.1591947349937313,-3.8806808610037686,1.3559800902627666,-2.0654200311220046
1.1203879263836936,-3.927408509696227,1.3353258899515466,-2.144786099812037
1.0811138412867314,-3.967004255687868,1.3138780289534262,-2.234295632582424
1.0414437987298526,-3.99919398957818,1.291535072627602,-2.3340578968819363
1.0014518588340708,-4.023756683699817,1.2681944936587826,-2.444045593030583
0.9612142919970726,-4.040521867419514,1.2437540377284768,-2.5640975824549503
0.9208090733228775,-4.049365750132501,1.2181130619039273,-2.6939256831779788
0.8803154158215525,-4.050206833724132,1.1911738050721474,-2.8331245395073106
0.8398133474843111,-4.043001908801987,1.1628425596770744,-2.981183426410086
0.7993833283962912,-4.0277432886636655,1.1330307254129734,-3.1374988304636773
0.7591058955096546,-4.00445802442676,1.1016557371083366,-3.3013867278179703
0.719061315265387,-3.973209693738447,1.068641869830157,-3.472093613054194
0.6793292183280025,-3.9341031931080335,1.0339209336996151,-3.6488054787946242
0.6399881863969222,-3.8872928126801614,0.9974328789116689,-3.8306540709971784
0.6011152582701206,-3.832993744527551,0.9591263382016971,-4.016719830301853
0.5627853208248451,-3.7714970718597836,0.9189591398986786,-4.206030974101665
0.5250703501062473,-3.7031881951276846,0.8768988301576619,-4.397558193874943
0.48803846815497043,-3.6285685470737565,0.8329232482189125,-4.590204473243151
0.45175278268423286,-3.5482802933116786,0.787021203486481,-4.78278962995367
0.41626997975111607,-3.4631334531040276,0.7391933071869443,-4.974029427610865
0.3816386452200758,-3.3741344354931333,0.6894530129108357,-5.162509591790466
0.3478973008651445,-3.2825142860295164,0.6378279169929311,-5.346655919717603
0.31507215800484933,-3.189753900667141,0.584361357795755,-5.524703011451386
0.2831746189981779,-3.0976020489364666,0.5291143276812412,-5.694666044616626
0.25219859850881327,-3.008080330331556,0.472167667235075,-5.854322400553493
0.2221177952054977,-2.923467448311973,0.41362444322954006,-6.001212495268966
0.19288312072237798,-2.846254031349983,0.3536123182768504,-6.132671118781742
0.16442058040887814,-2.779059645310029,0.292285607089033,-6.245900677461023
0.13662998395577786,-2.724506856609715,0.22982660031442276,-6.338094349648291
0.1093849153896807,-2.6850542154259442,0.16644565681793985,-6.40660894762321
0.08253437323542126,-2.662800723539046,0.10237956734170775,-6.449174254569191
0.0559063660000308,-2.6592865807436854,0.03788782479601584,-6.46411041754772
0.029313500192593947,-2.6753243495047525,-0.026753279379461356,-6.4505132035850545
0.0025602566975464203,-2.710895831471959,-0.09125841141531191,-6.4083653081475545
-0.024548701617173173,-2.7651396884916397,-0.15534206449678745,-6.338544502885313
-0.05220009850208957,-2.8364349271883653,-0.21872750952564057,-6.242723877628835
-0.08056444777397323,-2.92256279719602,-0.28115474830192894,-6.123186787539989
-0.10979007574593343,-3.0209132220789843,-0.34238661617732885,-5.982598279402314
-0.13999920796672327,-3.1286972083331492,-0.402212598971352,-5.823778963052136
-0.17128618005005475,-3.2431334477976206,-0.4604503886018733,-5.649517411304991
-0.20371751452803094,-3.361590534176373,-0.5169455627149232,-5.462439939408467
-0.23733341986979467,-3.4816797816364433,-0.5715699621090079,-5.264939787934956
-0.2721502176861591,-3.601303482148235,-0.6242193599883574,-5.059156237664008
-0.3081632525076414,-3.718668385142972,-0.6748109223649975,-4.846989149880425
-0.34534993635907113,-3.8322751165846554,-0.7232808138638017,-4.630134408095597
-0.3836726875249177,-3.940892822099102,-0.7695821579447577,-4.410128473876337
-0.4230816157459087,-4.043525994247562,-0.8136834426835211,-4.188393849140207
-0.4635168756883843,-4.139378168944909,-0.8555673811749231,-3.9662805031750428
-0.5049106573778334,-4.227815386087362,-0.8952301862066736,-3.745100786540054
-0.547188811238707,-4.3083311051640365,-0.9326811940720742,-3.5261569479029844
-0.5902721222903473,-4.3805135801776105,-0.967942763551104,-3.3107612226654517
-0.6340772580921235,-4.444016404395268,-1.0010503757777585,-3.1002487599449458
-0.6785174221360761,-4.498532907228193,-1.032052863377208,-2.895983575756759
-0.723502751208358,-4.543775211774741,-1.0610126991347755,-2.699357420143632
-0.7689405033261054,-4.579458944546107,-1.0880062733362117,-2.511781064029362
-0.8147350927715665,-4.605294734064264,-1.1131240839765053,-2.334667187125806
-0.8607880401122092,-4.620987641987895,-1.1364707558477634,-2.169403931965112
-0.9069979165320882,-4.626245432731568,-1.1581647951674146,-2.0173184404515605
-0.9532603708594038,-4.620796007961434,-1.1783379795719302,-1.8796304510436543
-0.9994683309390182,-4.6044133576592365,-1.1971342840823667,-1.7573973799852396
-1.0455124645156106,-4.576950051126539,-1.214708257882219,-1.6514541679011954
-1.0912819650268761,-4.53837279480392,-1.231222799561231,-1.5623532581060435
-1.1366656929749153,-4.488796263925356,-1.2468463321422916,-1.4903118667979107
-1.1815536556141688,-4.428509720477663,-1.2617494508102707,-1.4351745433314116
