th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
4.367576179193761,-0.24065993191058638,5.020536992874676,-1.8912362422204103
4.365169579874655,-0.14402803468256672,5.001624630452471,-1.874957818115384
4.363729299527829,-0.04814195815511593,4.982875052271317,-1.858264143206926
4.363247879946278,0.04712397787969057,4.964292410839247,-1.841422912240391
4.363719119725075,0.14190097482517955,4.945878181716844,-1.824695264862297
4.365138129473326,0.23632490782822604,4.927631229068221,-1.8083353918828717
4.367501378551609,0.33053525975442666,4.909547875149393,-1.7925898078894102
4.370806731149153,0.42467379110526093,4.891621977070499,-1.777696200344696
4.375053469060205,0.518882888490151,4.873845015067052,-1.7638817502684032
4.380242297945107,0.6133035217165481,4.856206197564368,-1.7513608033726376
4.386375333162272,0.7080727271404273,4.838692589530641,-1.740331754250171
4.393456060433676,0.8033205240193049,4.82128927198814,-1.7309729919521586
4.401489265673869,0.8991661635172704,4.803979542068618,-1.723437746417653
4.410480927309042,0.9957136102509757,4.786745164604442,-1.717847676922251
4.420438063411551,1.0930461689646094,4.769566687835219,-1.7142850635384608
4.431368525101197,1.1912202011098103,4.752423837199834,-1.7127835108728615
4.443280727112295,1.290257936762078,4.735296002091106,-1.7133171632577446
4.456183306479916,1.3901394868398727,4.718162830458528,-1.7157885774553323
4.470084701348315,1.4907943092954001,4.701004944683975,-1.7200156180214512
4.484992644441269,1.5920925877951797,4.68380478850376,-1.7257180423519083
4.500913570319221,1.693837240696073,4.666547608080242,-1.7325048252873458
4.517851942726182,1.7957575737934037,4.649222559827368,-1.7398637117299518
4.535809518464116,1.8975058790906385,4.631823922710069,-1.7471549184674806
4.554784577255022,1.9986584882704763,4.614352373525394,-1.7536112252328764
4.5747711621377265,2.0987228069168054,4.596816261273065,-1.758346746221616
4.595758390206894,2.1971515624282336,4.579232793810849,-1.7603762806519578
4.617729905831177,2.293364797431947,4.56162903100433,-1.758646160539115
4.6406635538054966,2.38677901616593,4.544042569398939,-1.752075917521671
4.664531343967156,2.4768414711778646,4.526521810223722,-1.7396080529177376
4.689299758678935,2.563066158197234,4.509125729694544,-1.7202611332138515
4.714930420260907,2.6450670863525385,4.491923118362405,-1.693179941988731
4.741381091124432,2.722584214117799,4.474991318942518,-1.6576760824828687
4.76860693326561,2.7954982983432846,4.458414558117689,-1.6132535560094303
4.7965619162490425,2.8638326721203518,4.442282022557595,-1.5596162854667366
4.825200242970246,2.9277421946069295,4.426685859702928,-1.4966576846948259
4.854477664916316,2.9874916842978374,4.41171928285598,-1.4244353242056098
4.884352581759294,3.0434275212706785,4.397474929613924,-1.3431357484860407
4.914786856972,3.095946528980532,4.384043572129064,-1.253035184094227
4.945746322261805,3.14546579851374,4.371513220288122,-1.1544613302305171
4.977200980246943,3.1923961079058842,4.359968606985817,-1.0477600665092917
5.009124941326002,3.2371203948997613,4.349491006320724,-0.9332692718613638
5.041496145275,3.279977670397258,4.34015831360211,-0.8113004552374369
5.0742959219789725,3.321251981542641,4.332045309049736,-0.6821277957613548
5.107508441794399,3.36116558605395,4.325224031092122,-0.5459835367730148
5.141120097654938,3.3998753344731547,4.319764195724392,-0.40305841201123127
5.17511885099967,3.437471289227894,4.31573361160428,-0.25350578733548224
5.209493563891949,3.4739767536257626,4.313198553730925,-0.0974483605318951
5.244233331428207,3.5093490736318547,4.312224070125606,0.06501351766126925
5.279326822164526,3.543480767260189,4.312874205302219,0.2337926169319651
5.314761629837128,3.5762007074520015,4.315212131471538,0.40880522187731244
5.350523636911648,3.607275225363707,4.319300183690311,0.5899615307063256
5.386596389165285,3.6364091113797175,4.3251997989973745,0.7771563438027947
5.422960480279082,3.663246574259453,4.332971362435402,0.9702602708221254
5.459592946021677,3.6873722791760217,4.342673965143623,1.1691116603484601
5.496466668813437,3.708312627168317,4.354365081747108,1.3735094551417748
5.53354979508512,3.725537464758029,4.368100176298526,1.5832071904838525
5.570805169732701,3.7384624249238128,4.383932248203364,1.797908375720358
5.608189793981939,3.7464520998274984,4.401911331960568,2.0172635232386344
5.645654314980214,3.7488242312780615,4.422083967192954,2.2408691089860224
5.683142557292994,3.744855075953155,4.444492658282814,2.4682687590604786
5.720591108052526,3.733786057758862,4.46917534587342,2.698956953444901
5.7579289686301145,3.714831758533639,4.496164915407869,2.932385517025735
5.7950772862154505,3.6871892204219603,4.525488770578126,3.167973127172468
5.83194917841967,3.6500484396115955,4.5571685018498505,3.4051180053356958
5.868449662815786,3.602603824229667,4.591219681903207,3.643213878098603
5.904475701058083,3.5440662733864845,4.627651820684194,3.8816691936843064
5.939916363791948,3.4736754161366115,4.666468512621036,4.119929468029854
5.974653117953314,3.3907114372707614,4.707667807301335,4.35750251712473
6.008560232326022,3.2945058224677424,4.751242832472582,4.593986217693152
6.041505290550699,3.184450291879468,4.797182694649513,4.82909833490056
6.073349793469494,3.0600031746783873,4.845473677998519,5.062707869888847
6.103949825216278,2.9206925267095984,4.8961007566974075,5.2948673121108785
6.133156750483374,2.7661154336794214,4.949049429818516,5.52584512051797
6.160817904820168,2.5959332076506216,5.0043078810236965,5.756157671486377
6.186777236896674,2.409862628529285,5.061869457738561,5.98659973137157
6.2108758631819665,2.207664095053317,5.121735455052276,6.21827210699674
6.232952504132499,1.9891286906628132,5.183918176122243,6.452604261185807
6.252843791039128,1.7540680225255663,5.248444218734101,6.691367933223686
6.270384471264384,1.5023137605732366,5.315357898066338,6.936674443976526
6.285407608870116,1.2337389636093996,5.384724642506104,7.190942133839306
6.29774499850621,0.9483220013262509,5.456634063844497,7.456809171360922
6.307228218519472,0.6462884732713625,5.531202155558106,7.736947442226523
6.313691103252186,0.3283901324858716,5.608571629980371,8.033700713905116
6.316975004577045,-0.0035848208093307576,5.688908637119423,8.348420282527442
6.316939156368951,-0.3459317010242805,5.772392839944697,8.680306674378214
6.313479839358709,-0.691614293512494,5.859195906688479,9.024519620657678
6.306563696423584,-1.0282288211140744,5.949441102895055,9.369409374362048
6.296281408212444,-1.3356622835137788,6.0431351966386755,9.69324488449412
6.282924785377306,-1.5848054065091306,6.140067645483617,9.96221528735981
6.267076731312215,-1.740275580260064,6.239689798357215,10.133655246756836
6.249673975509614,-1.7703049421794357,6.341026350824784,10.168763889439775
6.231970926087819,-1.6618215932903704,6.442713989719182,10.052208639991377
6.2153527101549155,-1.429696618590741,6.543236076119095,9.803874670547497
6.201055743969008,-1.109952300772456,6.64127482282457,9.469383076446459
6.1899562209612835,-0.7426381988025492,6.735968653589035,9.09749173808127
6.182529838973258,-0.3589796105506903,6.826943570969847,8.72388036670959
6.178940042867751,0.021686106887119694,6.914182374636943,8.368081350315078
6.179156903936622,0.3892768112873948,6.9978631881400934,8.037632737727591
6.1830496720494965,0.7393502503420457,7.078239515517369,7.733140999852442
6.190443174552917,1.0704195938854606,7.155570925515893,7.4518720089155
6.201147370491772,1.3823571920261875,7.230089645605048,7.18980760528402
6.214970942412034,1.6755527631718001,7.301987721657889,6.9426895395257
6.231726470043752,1.9505092683315204,7.371414617053145,6.706501381106141
6.2512315627270665,2.2076721503294596,7.438479630864206,6.477665781390953
6.273308284230361,2.4473768057820187,7.503256288678116,6.253106587366488
6.2977820522881816,2.6698530881277787,7.56578735455178,6.030250820913052
6.32448058316946,2.8752550895191615,7.626089862760911,5.807006159628929
6.353233134064651,3.0636998324578664,7.684159924357201,5.58172976439139
6.38387013238923,3.235306403067268,7.739977222001115,5.353194731802523
6.416223196419903,3.3902311274630557,7.79350916931914,5.120556060581009
6.450125507694533,3.5286965439781186,7.8447147299249504,4.883316212193288
6.485412473134315,3.6510131292647414,7.893547892046883,4.6412898000616485
6.521922604426963,3.7575934764501753,7.9399607900474996,4.3945669881778615
6.559498539191464,3.8489591273483725,7.983906459929278,4.143475472590894
6.597988130464948,3.9257406299059703,8.025341214655187,3.888541275674134
6.6372455367640075,3.988671666528431,8.064226627411928,3.630448906707551
6.677132253429292,4.038578291249295,8.100531116479004,3.3700016841437677
6.717518036341785,4.076364426914724,8.134231133320442,3.1080831545639573
6.758281680610932,4.102994810047023,8.165311964866081,2.8456205788011935
6.799311628711402,4.119476536355884,8.193768170654094,2.5835513973265316
6.8405063940749615,4.126840263592129,8.219603684627359,2.322793453000064
6.881774796710883,4.126121983651971,8.242831619157359,2.0642195623933004
6.923036016547403,4.118346097703707,8.263473814781293,1.808636811342052
6.96421947752444,4.104510332285345,8.281560182894713,1.5567707295406925
7.005264580847294,4.085572835454084,8.29712789019012,1.3092542933551135
