th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
3.826478000541828,2.9319703181883434,4.481813513837194,-0.27002747832267926
3.8557977037237117,2.9978335100944076,4.479113239053967,-0.2792291878945927
3.885776038824656,3.067957030661394,4.4763209471750205,-0.29328008433109676
3.91645560913127,3.1424829653288167,4.473388146331709,-0.3123114465285987
3.947880438784558,3.221524331032014,4.470265031866424,-0.3363925722541282
3.9800956820948783,3.305151044213145,4.466901106143882,-0.3655066447117248
4.0131471925370095,3.3933716159446337,4.463246039696765,-0.39952004953031456
4.047080908696456,3.4861098796796677,4.459250839201462,-0.43814420395586423
4.081942007493253,3.5831763406000885,4.454869397161904,-0.4808894260281442
4.1177737708992534,3.6842343710357306,4.450060502901622,-0.5270113661194908
4.1546161146096106,3.7887626360594515,4.444790389240428,-0.5754522965958263
4.1925037409702055,3.8960169779775446,4.4390358662744696,-0.6247823381313885
4.231463910749981,4.004997563038627,4.432788042893156,-0.6731495509656227
4.271513886380367,4.114430140429634,4.4260565473835,-0.718252348293073
4.312658187784663,4.22277297449713,4.418874023900569,-0.7573517048495589
4.354885917529635,4.328261849501342,4.411300506852074,-0.7873418821148194
4.398168536024648,4.429002423798654,4.403427088030925,-0.80489381276511
4.442458560262635,4.523110378574375,4.395378149903275,-0.8066723079249708
4.4876896640483785,4.6088855220342895,4.387311426824025,-0.7896072011367907
4.533778519268721,4.684990162874252,4.379415354812657,-0.751175030509103
4.5806284208974635,4.750591980866173,4.371903604507566,-0.6896325287446308
4.628134340706125,4.805434598435596,4.36500727922012,-0.6041467674455093
4.676188686690481,4.84981692645327,4.358965811545665,-0.49479221463838774
4.724686855955014,4.884488485740157,4.354017889399281,-0.3624228856812671
4.773531740812415,4.910490410209234,4.350393660542468,-0.2084610768983553
4.822636644914508,4.928981231531263,4.348309049773484,-0.03465890653889239
4.87192645722982,4.941081367297712,4.3479624607080956,0.15711750435743807
4.921337270902797,4.94775629919749,4.34953363575167,0.3650508748704565
4.970814833894773,4.949743603601238,4.353184144500375,0.587473655779178
5.020312269930785,4.947518541803277,4.359058881058167,0.8229135073611242
5.069787455348818,4.941288166814944,4.367288016131778,1.0700974025664791
5.119200337016967,4.9310035660565905,4.3779889901574425,1.3279295398517195
5.168510372677534,4.9163818701685535,4.3912682855559595,1.5954558942143586
5.217674191379219,4.896932344420822,4.407222844498103,1.8718247502221417
5.266643514823427,4.871983292381556,4.425941092000325,2.15624932038913
5.315363347747242,4.840708284966176,4.447503585204216,2.4479760903131567
5.363770430596904,4.802151365308065,4.471983346107348,2.746260888062541
5.411791944249984,4.755251494141769,4.499445954987974,3.050353677833273
5.459344459191402,4.698866740282273,4.529949491766306,3.3594925104080486
5.506333126594225,4.631798713422163,4.5635444168703865,3.6729067376699276
5.552651113728446,4.5528175775596065,4.600273484247086,3.9898293769661572
5.598179289504042,4.46068774380879,4.6401717780167475,4.30951830122773
5.64278616694213,4.35419407871145,4.683266961029025,4.6312856749095745
5.686328107729245,4.2321682343587845,4.729579817778121,4.95453471793734
5.728649790072833,4.09351457459401,4.779125164957494,5.278802430864831
5.769584935818773,3.937235222195291,4.831913189266142,5.603806314664189
5.808957288040726,3.762454103706091,4.887951252412784,5.9294922926606874
5.8465818290777865,3.5684406940800093,4.947246175339391,6.2560798407202105
5.8822662360185864,3.3546357230639963,5.009806973746593,6.584098471059751
5.9158125932492265,3.120683803127418,5.07564795845719,6.914406682785278
5.9470194312805,2.866482406630221,5.144792025285043,7.248179409249315
5.975684255346803,2.5922638265514273,5.217273819377536,7.586841432003234
6.001606893612317,2.2987380824167447,5.293142233697568,7.931910065560614
6.024594274436485,1.987341799789087,5.372461334353175,8.284687971646443
6.044467692434376,1.6606616529901748,5.455308214069639,8.645714367900213
6.061074308964278,1.323127131632394,5.541765357748641,9.013844024495087
6.074305580280602,0.9820773963241729,5.631903797993592,9.384801679133966
6.0841263542438435,0.6492449400551514,5.725751814784932,9.749128264932345
6.090618803644395,0.34244035394655153,5.823243097434255,10.08976246679099
6.09404320718386,0.08658899379308294,5.924140722102165,10.380334459830463
6.094909097121791,-0.08772084894806537,6.02794406670047,10.58658236845025
6.09403188863231,-0.15044356624095195,6.133809890384972,10.673912579545604
6.0925274529699,-0.0829527102900527,6.240549016180428,10.621050523189693
6.091697925867,0.11219344752699469,6.346759521412325,10.432205270576523
6.09281986034227,0.4111089353211101,6.45108157411809,10.136702533770121
6.096930949695481,0.7791365290007883,6.552448599455792,9.77507256540404
6.104722314985489,1.1833679270099489,6.650199325109832,9.38331857374897
6.116555994255589,1.5992863728749225,6.744032510847322,8.985327492797204
6.132548857984339,2.0112388717212637,6.833885785775293,8.593249404921266
6.152661246701551,2.410157523659241,6.919818279824506,8.211101110198221
6.176762821938143,2.791087162631271,7.001929290926488,7.8382959202302285
6.204673693564456,3.1514056796340277,7.08031225012879,7.47208493431272
6.236187750360797,3.489753452356923,7.155033099471917,7.10899838173041
6.271085284884366,3.8054580545459555,7.226123083289221,6.745621274533803
6.309139865429826,4.098256106938454,7.293579296034559,6.378979710650646
6.35012242649921,4.3681782657755255,7.357369093141066,6.006711764714327
6.393804209156965,4.615516493117026,7.4174362107882095,5.627120532619398
6.439959374088136,4.840827180264102,7.4737074161144035,5.239161085293195
6.488367645890777,5.0449442146313235,7.526099026967335,4.842388393622561
6.5388170880370895,5.228988073500187,7.574522910903561,4.436881015453815
6.591106968772092,5.394364119933432,7.618891721058099,4.023149814122924
6.645050609971426,5.542747531774577,7.659123219199328,3.602038904956183
6.700478085289172,5.676054779384747,7.69514360824889,3.1746255922844937
6.757238633083019,5.79640277890711,7.726889864171735,2.742126349068325
6.81520266087209,5.906056977176739,7.754311127662418,2.3058165424076043
6.874263230643857,6.0073686962570765,7.777369293086494,1.8669726327408636
6.934336917606427,6.102699997584524,7.796039019413903,1.4268472589843215
6.995363917582273,6.194330954322014,7.810307492003746,0.9866904516693036
7.057307227125492,6.28433934728387,7.820174396520439,0.5478347521331866
7.120150620598331,6.374436362926962,7.825652744041771,0.1118685860128924
7.1838949842276,6.4657344628048525,7.8267714299019,-0.3190698527266663
7.248552328855649,6.558417744878388,7.8235807313746335,-0.7418402922812407
7.314136506304433,6.651288016780843,7.816162328451821,-1.1516586505214557
7.380649386472241,6.741187808596478,7.804645741946606,-1.541277751872704
7.448061264558206,6.822384143041647,7.789232964427879,-1.9001229265046617
7.516285105988622,6.886168189257961,7.770231735162833,-2.213760672313175
7.585146787881202,6.921174209036804,7.748094128439701,-2.464430130882231
7.65435852997157,6.915069670768454,7.723449827130878,-2.633568708275094
7.723509226679255,6.857890256914775,7.697114140048127,-2.706703939649857
7.792088129248403,6.746055475329025,7.670047100651629,-2.6792924791629362
7.859548684001693,6.584722802731531,7.643254175859999,-2.5601044580773347
7.925395912029008,6.386504190160975,7.6176531312792255,-2.369283918624563
7.989260953930618,6.167179541217685,7.59396029209298,-2.1319907062517407
8.050932749342795,5.9412093214122725,7.572640385030462,-1.8716889168603208
8.110344842556918,5.719245440191323,7.553923495861859,-1.6063165785008557
8.167537296958832,5.507805170184786,7.5378603300768505,-1.347636341742671
8.22261534866068,5.310119024744367,7.524383966659424,-1.1023635483506908
8.275716538908124,5.127232157470002,7.513360331175917,-0.8737300245533439
8.326988860482825,4.958914784001662,7.504623030930384,-0.6628150742967721
8.376578008322841,4.804283816794928,7.4979948801874166,-0.4694791120638033
8.424620846490791,4.662182608205985,7.4933000890667785,-0.29295297737324294
8.471242672572851,4.531394766368028,7.490370559293046,-0.13218528227547863
8.516556620236532,4.410755182842536,7.4890487064702915,0.013963838038664522
8.560664172064957,4.2992013027038825,7.489188344850678,0.14662091011822395
8.603656185091996,4.195791328672721,7.4906545539518605,0.26685017532656796
8.645614098378724,4.099705052140813,7.493323055705126,0.3756340107145531
8.686611148900132,4.0102362109914855,7.497079395812271,0.473869020881459
8.726713511010047,3.9267812697268187,7.5018180860210855,0.5623699988405263
8.765981323707315,3.8488272234503675,7.50744178600949,0.6418774073399107
8.80446959594182,3.7759397404281803,7.51386056008289,0.7130660224918954
8.842228993346101,3.707752250314949,7.520991220307809,0.7765535143866182
8.879306515849251,3.6439562054617682,7.528756755451675,0.832908375662954
8.915746077903869,3.5842925464221604,7.537085839208305,0.8826569600150087
8.95158900336809,3.528544307593689,7.545912408808455,0.9262895807196111
8.986874446444027,3.476530258473917,7.555175304615651,0.9642657150514471
9.021639749028767,3.4280994643022,7.564817961766166,0.9970184044951534
9.055920743671788,3.383126652514454,7.574788145811118,1.02495795625611
9.089752010196932,3.3415082806057845,7.585037725373679,1.0484750520294257
9.12316709300299,3.303159212496894,7.595522475893973,1.067943362874216
9.15619868512796,3.2680099222022094,7.606201909522715,1.083721758605322
9.188878784349981,3.2360041544942986,7.617039127108769,1.0961561886933966
9.221238825894924,3.207096981949823,7.628000688995703,1.1055813004947916
9.253309795714422,3.181253206160706,7.639056502000651,1.11232185032567
9.28512232777603,3.1584460580658478,7.650179720503908,1.1166939537065717
9.316706788356688,3.1386561584328465,7.661346660040974,1.1190062130941067
9.348093349941017,3.121870704641774,7.672536722171915,1.1195607545398107
9.379312056987434,3.1080828542338197,7.683732329717313,1.118654198873319
9.410392885529772,3.097291279309407,7.694918871706046,1.1165785880746621
9.441365798322867,3.0894998688957984,7.706084657586793,1.1136222833475424
9.472260797011824,3.08471755893544,7.717220880420268,1.1100708479015005
9.503107972601178,3.0829582716370156,7.728321588899283,1.10620792447032
9.533937555317548,3.0842409476284494,7.7393836681439865,1.1023161150176266
9.564779964793832,3.0885896556878554,7.750406829294163,1.0986778677958016
9.59566586135071,3.0960337658255077,7.761393607972121,1.0955763748244136
9.626626199008966,3.106608172157822,7.772349371720365,1.0932964808377204
9.657692280730544,3.12035355235497,7.7832823365287425,1.0921256027197557
9.688895816254094,3.1373166504517114,7.79420359255594,1.092354656305354
9.720268982758611,3.1575505694750876,7.805127139118993,1.0942789850838048
9.751844488453361,3.181115059647299,7.816069928969831,1.0981992827083442
9.783655639049835,3.208076786849315,7.827051921796915,1.1044224982017516
9.815736406918328,3.2385095645624453,7.838096146778933,1.1132627092724052
9.848121502563952,3.2724945306259245,7.8492287738716575,1.1250419451398666
9.880846447870212,3.3101202478504,7.860479193323056,1.140090935649722
9.913947650348716,3.3514827048142153,7.871880102679553,1.158749758188062
9.947462477396858,3.3966851900652713,7.883467600261434,1.181368347969165
9.98142932929751,3.4458380095079946,7.8952812837411255,1.208306830689873
10.01588770939259,3.4990580130637734,7.907364352048024,1.2399356294037018
10.050878289523228,3.5564678928976488,7.919763708342061,1.276635289929706
10.086442968452204,3.6181952118145317,7.9325300612413585,1.318795961443496
10.122624920570349,3.684371117138141,7.945718020855794,1.3668164615024632
10.15946863174173,3.7551286928869536,7.9593861854708186,1.4211028482003643
10.197019918670598,3.8306009018567964,7.973597213952822,1.4820664171875269
10.235325927689166,3.9109180699306405,7.9884178781246975,1.5501210389077622
10.274435108388472,3.9962048682986047,8.003919088513776,1.6256797527928932
10.314397157071458,4.0865767561152495,8.020175886041704,1.7091505417335986
10.35526292463261,4.182135857327229,8.03726739145904,1.8009312234867814
10.397084283205883,4.282966261827581,8.055276703693908,1.9014034174255339
10.43991394582416,4.3891287634514455,8.074290737868163,2.01092557673377
10.483805233458673,4.500655076050278,8.0943999936355,2.129825119012862
10.528811784219176,4.617541603917263,8.115698244825628,2.2583897428897695
10.574987200258349,4.739742883443897,8.138282142254527,2.396858084185381
10.622384629092787,4.867164857423648,8.162250723096381,2.545409940717672
10.671056277667024,4.999658189173229,8.187704822503559,2.7041563763231067
10.721052859558757,5.137011866771934,8.214746386266789,2.873130096628242
10.772422978226476,5.278947383342007,8.24347768723307,3.0522765639134
10.825212452059896,5.425113801799192,8.274000452872205,3.2414463767825783
10.879463590077888,5.575084016119778,8.30641491664003,3.4403894719876567
10.935214430239085,5.72835250076129,8.340818811359906,3.648751700504622
10.992497955246698,5.884334791891328,8.377306328364952,3.8660742793567917
11.05134130316561,6.0423688675226,8.41596707115852,4.091796519628049
11.111764991840836,6.201718490816011,8.4568850363548,4.32526207943822
11.173782176748997,6.36157845759093,8.500137657149182,4.565728794157854
11.237397961324906,6.52108155464359,8.54579494509076,4.812381906737183
11.302608776871342,6.679306901249551,8.593918764158133,5.064350275795899
11.369401845883838,6.835289224287392,8.644562266916092,5.320724898248305
11.437754738126712,6.988028518562373,8.697769515898575,5.580578867122715
11.507635023312336,7.136499475839489,8.753575304569802,5.8429877113519915
11.579000018070731,7.279660032206285,8.812005181683322,6.107048944516778
11.651796618392794,7.416458382463625,8.87307567112849,6.371899588445401
11.72596120221743,7.545837837296324,8.936794667012943,6.636730432577527
11.801419580590393,7.666738947101728,9.003161971338718,6.900795832792888
11.87808697006141,7.778098379342752,9.072169929666646,7.1634179330910595
11.955867953854838,7.878844111555361,9.143804108997557,7.42398430055046
12.034656394970392,7.9678865935423495,9.218043952003061,7.681938094566947
12.114335260905817,8.044105652524763,9.294863332948731,7.936760051530914
12.194776317431064,8.106333087322188,9.374230933464041,8.187941775420482
12.275839648304286,8.153331156470058,9.456110351218246,8.434950119127882
12.357372959868988,8.183767555585721,9.540459852409525,8.677182874276674
12.439210635424844,8.196188053743846,9.627231681152292,8.913916629224655
12.521172515962283,8.188988769769587,9.716370847444539,9.144248587871996
12.603062403659978,8.160391155843023,9.807813333323258,9.367035446477901
12.684666315218408,8.108424117649704,9.901483687788037,9.580834155852216
12.765750556394904,8.030919260758806,9.997292029346559,9.783851535865146
12.846059749002492,7.925526806694459,10.09513054470521,9.973912107533783
12.925315017069437,7.789760878160447,10.194869665780548,10.148455799002226
13.003212625851042,7.62108299416424,10.29635422377057,10.304578708482055
13.079423455792684,7.4170309212298955,10.39940001085539,10.439129898767865
13.153593765004983,7.1753956171746305,10.503791309843068,10.548874076334728
13.225347721176728,6.894441270880697,10.609280050606415,10.630722910204755
13.294292133885536,6.573152560973547,10.715587279708462,10.68202629732668
13.36002365949527,6.211480748450788,10.822407542681729,10.700900115342279
13.422138466979778,5.810549232224873,10.929416543835151,10.686551894857812
13.480243959302026,5.372774082719267,11.036282062783728,10.639555143207561
13.533971700129218,4.9018599604646695,11.142677614215804,10.562022001297946
13.582990299733865,4.4026485042658905,11.248297834228785,10.457635950462485
13.627016784776524,3.8808223269506805,11.35287419373341,10.331530700344521
13.665825008046031,3.3424964083555104,11.456189500736855,10.190032464516431
13.699249972129586,2.7937509808454113,11.55808982538202,10.040311501831395
13.72718748193804,2.240168645961881,11.658492940400333,9.890006396677496
13.749589168397659,1.6864310586436537,11.757393004367108,9.746886628789907
13.766453478984095,1.136010457275676,11.854861870655007,9.618607027216015
13.777813583556853,0.5909657530466487,11.951047940927168,9.512587835602364
13.78372324108732,0.0518292981212668,12.046173819283192,9.436033886721711
13.784241534068531,-0.4824461446202122,12.140534158150409,9.396091600025409
13.77941707262233,-1.0145185544111042,12.234495074150663,9.400135466576263
13.769271887078219,-1.5487036491762476,12.328496428816425,9.456174684977531
13.753784850586456,-2.091065896366382,12.4230581756662,9.573369397404457
13.732874191622793,-2.6495569951969022,12.518791869640246,9.76263015417265
13.706378621670824,-3.234143334835137,12.616418171181973,10.037209189658661
13.674037188322473,-3.8567021607392244,12.71679026307856,10.412989205904
13.63547016671508,-4.530040738071783,12.8209201551376,10.907606329578641
13.590169759334362,-5.264309056066895,12.929996218433386,11.536056007441545
13.537526668773694,-6.056583777392625,13.045356778507802,12.296958150800986
13.476960830999767,-6.865315091678398,13.168326360015811,13.13787245510704
13.408307680082983,-7.563535250880988,13.299705084566881,13.890776998438358
13.332672327574173,-7.911225802348924,13.438612854551264,14.232829075953056
13.253560069550684,-7.694923903507655,13.580941145310796,13.876512560439645
13.176610830515607,-7.011621371386598,13.719706270915191,12.955870701066685
13.10649461680174,-6.1834610565786,13.849264977925857,11.90322002951265
13.044660006235954,-5.416919094433262,13.968297178220984,10.986023988370489
12.990490815291622,-4.7618171081115355,14.07815741810469,10.260343829357826
12.942872644210507,-4.206761685349148,14.180760856398267,9.7038652255921
12.900805027357015,-3.728980478856258,14.277799508654189,9.282570686032573
12.863515222568452,-3.308093536483284,14.370625215514515,8.968029410966592
12.83043428720362,-2.928195899696016,14.460305509624181,8.739297030434852
12.80115232820666,-2.5772223243919665,14.54769847992853,8.581497101213584
12.775380104962741,-2.2459914767105684,14.633513450940665,8.484156993961106
12.752920190195635,-1.927450340627788,14.718355020880276,8.439880558634313
12.733645686789357,-1.6161768063332018,14.802753826466619,8.443352735636081
