th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
3.79555981949051,-3.1097949451348024,3.1833637362204397,1.310510301983535
3.764461870039162,-3.0642888675666304,3.196468839240275,1.3329360008155544
3.7338189813634957,-3.0195615455040015,3.2097981992484304,1.3511187953348223
3.703623365908456,-2.9755809604883217,3.2233093872017786,1.365340815194338
3.6738675563035725,-2.932350585467121,3.236962795353722,1.3759122555379815
3.6445440504489013,-2.8899124618233127,3.250721917909102,1.3831768360234313
3.615644925830668,-2.8483489328579124,3.2645536862693363,1.3875152821142316
3.587161436502089,-2.8077825679665853,3.2784288390904788,1.3893461492145376
3.5590836108224235,-2.7683738947236973,3.292322300582624,1.3891234368881435
3.5313998718751867,-2.7303167206507597,3.3062135349515054,1.387330682511172
3.504096704668679,-2.693831061914568,3.320086841776617,1.3844715658423987
3.477158394049533,-2.659153972426165,3.333931557435041,1.3810574549187793
3.4505668543252717,-2.626528838012102,3.3477421319842287,1.3775927138483122
3.4243015659451506,-2.5961939151348337,3.361518059122712,1.3745589010097217
3.398339626793802,-2.5683710087149016,3.375263648132809,1.3723991499735289
3.372655916706653,-2.5432551760656605,3.3889876396325445,1.3715040125394067
3.3472233649459966,-2.5210062177280546,3.4027026797579385,1.372199859487739
3.322013302768716,-2.5017424997347866,3.416424678352816,1.3747406212420783
3.296995877771368,-2.4855373894380666,3.430172084565237,1.379303270805298
3.272140503876987,-2.472418324904201,3.4439651172732897,1.3859870718788585
3.247416320627945,-2.462368313687342,3.4578249879920784,1.3948162903437327
3.2227926374910716,-2.4553294931215954,3.471773150895516,1.4057458299602124
3.1982393425598556,-2.451208287858258,3.485830609195118,1.4186691131451088
3.173727259681273,-2.449881665604341,3.500017300326569,1.4334274770767896
3.1492284430252293,-2.4512040061888554,3.514351575097337,1.449820375931861
3.1247164029633407,-2.455014147345022,3.5288497788566553,1.4676157503305456
3.1001662614898904,-2.4611422393212488,3.543525936359961,1.4865600252755078
3.075554839096678,-2.4694161187889683,3.558391536612716,1.50638731218869
3.0508606779087883,-2.4796669926638124,3.5734554097346027,1.5268275075561042
3.0260640079821504,-2.4917342990225384,3.5887236848101636,1.5476130922239766
3.001146664991925,-2.5054696816601774,3.6041998157324033,1.568484536170474
2.9760919681753233,-2.5207400745673825,3.6198846610941082,1.5891943000143853
2.9508845674296493,-2.5374299411903674,3.6357766040942523,1.6095094943766748
2.925510268017746,-2.5554427500304633,3.651871699038019,1.6292133104359516
2.8999558405174413,-2.5747017929857856,3.6681638321423784,1.6481053697180241
2.8742088225875833,-2.5951504666095295,3.6846448858395586,1.6660011595195072
2.848257317921488,-2.616752140562667,3.7013048974347535,1.6827307244871184
2.8220897965158613,-2.639489733821951,3.7181322046796246,1.6981367774989102
2.795694899177642,-2.663365109730412,3.7351135724546136,1.7120723771678883
2.769061248080338,-2.688398387795043,3.7522342962262925,1.7243982980343815
2.7421772642023874,-2.7146272550874615,3.7694782792066364,1.7349801955587782
2.715030991651513,-2.742106344695698,3.7868280811622244,1.7436856436266273
2.687609928204556,-2.7709067340204436,3.8042649375984907,1.7503810991400832
2.6599008608643517,-2.8011156025187347,3.8217687485898915,1.754928827559751
2.6318897048391645,-2.832836077121493,3.839318036865489,1.7571838056781084
2.6035613440679497,-2.8661872840352967,3.85688987492227,1.756990603790679
2.5748994712275968,-2.9013046177926682,3.874459780960177,1.7541802388903052
2.54588642504967,-2.9383402318697938,3.8920015833490798,1.7485669835372426
2.516503022730972,-2.9774637494422875,3.909487253184452,1.7399451116467954
2.486728385236549,-3.0188631872867426,3.92688670430092,1.7280855626783196
2.456539753363682,-3.0627460797467854,3.944167559927703,1.7127325098811728
2.425912292566214,-3.1093407822468517,3.961294885026515,1.6935998268951045
2.3948188847437457,-3.1588979241028996,3.978230883295466,1.6703674609942198
2.363229905502717,-3.2116919672301476,3.9949345579054083,1.6426777418973046
2.331112985830415,-3.26802280946529,4.0113613353243815,1.6101316841195543
2.298432757735762,-3.328217347051525,4.027462652165577,1.5722853806353323
2.265150584265247,-3.3926308785769885,4.04318550597193,1.528646639067728
2.231224275479477,-3.461648190284283,4.058471972362607,1.4786720821974486
2.1966077935766344,-3.5356841080272683,4.073258693184582,1.4217650262200348
2.1612509524963617,-3.615183232180475,4.087476343446782,1.3572745669538335
2.125099120174557,-3.7006184869498173,4.10104908911632,1.2844964497380826
2.088092935305059,-3.792488014434311,4.113894053613701,1.2026764751827246
2.0501680551607158,-3.891309828381103,4.125920818365528,1.111017399149864
2.011254956876905,-3.997613518678,4.137030992357027,1.0086905144867249
1.971278821690125,-4.111928177098,4.147117897501894,0.8948533378241065
1.930159539919145,-4.234765618197728,4.156066430880135,0.7686750369120856
1.8878118837371676,-4.366597928595861,4.163753181249256,0.6293713729417445
1.844145904451209,-4.507828438678794,4.1700468949786735,0.4762509246427199
1.7990676200644211,-4.6587554319929145,4.174809404225101,0.30877410754267304
1.7524800657444919,-4.81952835651428,4.177897145300528,0.12662588287027715
1.704284782179349,-4.990097041759564,4.1791634041292305,-0.07019805728797957
1.6543838117617533,-5.1701554921210935,4.17846142355635,-0.2812935318068016
1.6026822568405423,-5.359083194456252,4.1756484882382825,-0.5057427230932104
1.5490914248959797,-5.5558884208420505,4.17059106100735,-0.7420085521345811
1.4935325406875593,-5.759159468492432,4.163170975486004,-0.987838305636019
1.4359409460026349,-5.96703077259014,4.1532925924296435,-1.2401885611070647
1.3762706382767336,-6.177170903207198,4.140890706818573,-1.4951845132524961
1.3144989292446616,-6.386798236524916,4.125938861686048,-1.7481258717514188
1.2506309468794123,-6.592727460999435,4.108457602968534,-1.9935481667426114
1.184703672269418,-6.791446369936968,4.088522121301108,-2.225342785523504
1.1167892085700484,-6.9792184218135604,4.066268693445873,-2.436932380235926
1.0469970243519127,-7.152203456735436,4.041899369643514,-2.6214920660171903
0.9754749897845583,-7.306587811250634,4.015684448983342,-2.772202812899721
0.902409111672052,-7.438716402710796,3.987962420854345,-2.8825227474355417
0.828021947644944,-7.545222807476998,3.95913719337999,-2.9464646258937157
0.7525697195701739,-7.623157681598174,3.929672547121053,-2.9588720329880247
0.6763381427541921,-7.670119240958223,3.900083826791173,-2.9156904122977885
0.59963695034461,-7.684390084756666,3.870926922668195,-2.8142291987923205
0.5227930494970433,-7.665081157700144,3.842784630680272,-2.6534063125369225
0.4461422379200419,-7.6122759852661375,3.8162505675549028,-2.4339561114825266
0.3700194780673805,-7.527157919413259,3.7919110064400776,-2.158569095341516
0.2947478988732479,-7.412093150422217,3.7703253154866623,-1.8319212684028008
0.22062696736902576,-7.270637142922299,3.752006102802634,-1.4605497715004423
0.14792059593980278,-7.107436407728454,3.73740060508763,-1.052545045495686
0.07684623186251824,-6.9280133579807295,3.726875154632673,-0.6170599364679852
0.007566098282710945,-6.73844714892538,3.7207045552679934,-0.16367703096885372
-0.05981837320654286,-6.544990483285499,3.719067784958305,0.29828585838392985
-0.12526827803939786,-6.353681292510422,3.7220506435421443,0.7604311515840407
